unique_item
"Жезл, превращающий снег в цветы"
"Ремень, меняющий силу тяжести"
камень возрождения
"Фонарь, светящийся лунным светом"
"Часы, всегда показывающие 'идеальное время'"
"Очки, позволяющие видеть сквозь время"
"Веер, создающий ураганы"
"Ключ, который ищет замок сам"
"Камень, который всегда возвращается к хозяину"
"Канделябр, освещающий скрытые истины"
"Меч, поющий на поле битвы"
"Сумка, которой всё равно, что туда кладут"
"Табакерка, выпускающая миниатюрных дракончиков"
"Камень, который шепчет тайны"
"Ключ, открывающий любые двери"
"Щит, который сражается сам за себя"
"Мешок, полный ночных звёзд"
"Очки, показывающие скрытые ловушки"
"Перо, умеющее рисовать порталы"
"Плащ, создающий иллюзии"
"Шляпа, испускающая радугу"
"Лук, стреляющий пчёлами"
"Браслет, дарующий руки из теней"
"Кольцо, управляемое эмоциями владельца"
"Часы, возвращающие потерянное время"
"Пояс, поднимающий владельца в воздух"
"Кресло, читающее мысли"
"Зонтик, ловящий солнечные лучи"
шляпа мага
"Сосуд, который пьёт сам"
песочные часы времени
"Карта, показывающая путь к невозможным местам"
"Стул, который уносит в воспоминания"
руны силы
щит света
бесконечный блокнот
говорящая кружка
безразмерный мешок
"Скрипка, создающая иллюзию оркестра"
"Волшебный песок, делающий невидимым"
"Зеркало, показывающее другие миры"
"Подушка, дающая идеальные сны"
сапоги скорости
"Кисть, рисующая на небе"
"Перчатки, оживляющие камни"
"Кольцо, отпугивающее злых духов"
часы перемещения
плащ невидимости
"Кольцо, превращающее врага в лягушку"
древний меч
"Сапоги, оставляющие цветочные следы"
"Гармоника, заставляющая плясать"
волшебная палочка
